ID,IV
183,3.4150755729132
210,3.79507021141781
42,4.15616207099236
275,5.67782781003971
175,2.4425814985248
75,6.62631817288495
440,2.9061400790978
5,NA
7,4.71122308453094
405,4.56188085726549
168,5.60227717218028
157,6.40866468000519
140,5.33553339196236
84,5.33526188052117
337,5.78401733755125
163,4.83751710154159
147,4.31488377494278
557,4.63730502397043
234,6.49011203282722
491,3.78251114163193
315,6.63512912597315
376,3.9647284340891
391,4.87189974329368
516,4.63937766526746
69,4.02221893388707
70,5.54613342180862
303,7.09154159264603
228,4.82431182206764
248,2.98071058364082
479,5.61930191153421
135,5.01982581112858
360,4.7804316310394
201,4.94659598615094
57,4.87593170887246
383,2.94337443356254
322,4.50652522658232
537,4.53713383440655
46,4.78596128137706
361,NA
55,5.88365827882994
235,6.35359743242509
367,5.07206654448664
381,3.51074888932133
90,5.6441985560569
48,5.5785697919319
380,5.23493356582984
32,5.30577885874316
538,4.02567923827568
452,5.48357882598051
237,4.62032321276558
467,3.03358330477879
372,4.81916272254512
167,5.3548798902005
52,5.40731186979054
511,NA
94,NA
153,NA
289,5.9379381732168
95,4.52922474599903
82,3.79427606499088
119,5.33840013789334
66,6.28559730328328
424,4.22963487146355
443,5.07812977893511
394,5.82575401740352
45,5.63788930913389
113,4.18726432721224
232,5.36779754428275
498,3.71492408115196
387,4.48131739717802
451,4.58646107821262
422,NA
502,5.16133100017946
51,4.78678763212467
531,4.48847635832674
102,5.19708842239913
106,4.62204511285665
65,5.08271585261608
199,6.02420627002796
146,6.753161748504
110,5.90376635249945
341,6.47126066029411
505,3.48187350855509
131,NA
461,4.49375554997569
533,5.40501787134466
284,3.95021340565918
64,5.00962451376349
23,4.64087731327713
195,5.05991789657461
456,4.85807656132479
58,6.15620491405387
62,6.8601454700104
428,5.78624170372101
471,5.5789973435809
426,4.38705941939729
251,3.79149498753818
523,4.98640509657207
19,5.82127241719357
194,4.06036270888262
252,7.43386305485457
38,6.55188389612838
559,4.51400908360089
105,3.25597894161366
60,4.17554039574654
353,6.78304772219141
125,6.25567373712076
433,6.35057452599286
98,5.10535009991356
398,3.60797215247778
263,NA
489,5.10168574238506
143,4.83902292533675
154,4.00964769192379
407,NA
397,NA
276,5.80404756344825
245,5.07864986011936
185,3.55704655790392
18,3.65961255754532
364,3.15567634172788
44,3.57150349665443
186,4.71323240715221
144,6.00643738572951
329,6.35199505841323
330,5.63533483110879
555,NA
73,5.59329852425269
122,3.80124984092044
515,4.54305189013756
486,NA
182,4.90621338964291
465,5.09663240100715
352,NA
300,4.25697915871176
331,4.3650916511483
67,NA
108,5.02122118610774
47,5.56116726548468
510,4.71045303568649
103,5.18150929532287
429,5.02371894051533
477,4.67894132525377
462,5.82384574144914
399,3.77599440721879
470,5.40655941677201
415,5.36216284828213
247,5.56160396572008
233,4.79720039217485
304,4.49165742464534
317,4.62629926184562
342,4.89034618180554
220,5.08878283985814
542,4.70711445728516
501,NA
439,4.74888043670304
438,3.44754850484916
71,4.88351631638933
495,6.6156094897384
265,5.84077807495803
231,4.5651042842974
453,5.56721960307352
101,5.06861201504634
111,6.72844841322595
41,4.48407236004057
134,4.90258856918214
88,6.64778312470965
349,4.87254311333237
444,4.8650881407767
499,4.57919483061586
286,6.95928163699291
224,3.86119598123882
547,6.07171542203391
3,3.2863639064172
219,5.38586649067636
13,NA
299,5.48215391213047
93,3.47502737045849
4,6.24781224885483
308,5.96558147543191
212,4.22043394044715
524,4.2529166871873
117,4.95245748860349
92,7.09199124347871
472,4.72987980080214
305,3.9050539182471
129,6.30101180273885
540,6.57966831025073
127,NA
26,5.21987636691701
408,5.44523524905963
400,5.31260745110343
40,NA
476,5.52974673215378
307,5.14109802207782
25,4.83124309013047
293,4.39343727923808
261,NA
72,4.54563836936026
345,4.46272274669141
208,3.50957923419113
255,4.67348210637945
484,4.70613604182601
366,5.33039027942064
445,NA
11,5.08531985156472
539,4.4806715781252
288,5.21037079108608
203,4.53543899020423
173,3.21053967226686
264,5.57175827274883
309,6.0944519841976
215,5.49496099606841
388,5.7410423900856
460,3.76281466248997
485,4.00939740979334
356,4.89894750139902
370,5.20298985348007
244,7.19028493589728
430,NA
332,3.9066447358303
24,4.88852679989947
326,4.31965630673008
325,2.8542555519403
554,NA
230,NA
526,4.59071373140541
503,NA
535,3.56334349922358
176,4.67426034732614
482,NA
257,2.10830841151344
118,5.90966781816245
550,NA
382,5.10402276489755
480,6.53841756507493
328,6.13856109802829
87,3.32377778866289
447,4.10837442902824
241,3.27816479078091
513,5.13929470364775
166,4.65163071822098
468,6.83042165016026
530,5.82011616785516
109,NA
200,7.02059202850273
514,4.56485318714892
565,4.50434936751771
158,NA
133,3.91271871636775
272,6.11656319229037
15,6.06759281777667
20,2.79253162028198
193,5.19897940161869
86,5.12042224042561
333,NA
89,NA
490,4.00195269758401
420,5.13756169411864
269,NA
544,5.09799328320241
450,4.07924506010299
171,5.09420900604481
320,5.1031544172087
160,5.0457964308477
112,5.39695328743146
172,4.48272794825786
253,NA
519,4.95966401144342
427,4.04899519017742
416,4.15925308070794
563,5.94018346369557
227,5.17523607401165
321,2.46058320975497
56,3.99913455564488
419,5.39419398330266
76,3.03883748300773
355,5.61325842434793
97,5.59872979250069
335,3.5258415505929
128,5.15556417869152
283,6.79044149907559
311,5.50418489771813
327,4.6772846398606
509,5.0035927378201
469,5.4488766138773
170,5.56610809207997
421,3.96248117544126
318,4.91094724464632
137,6.08862059746265
285,5.01209434271258
562,2.19477415381882
187,5.34582976721262
6,NA
500,4.9852640408315
384,6.53951320459742
528,4.80334870658143
282,NA
517,6.09307411397707
529,5.45310783408342
222,3.83933980613207
36,4.82772507551745
33,5.40815096994216
238,4.54484588546429
344,5.36387426512264
414,4.65259157669625
551,4.33122038434769
169,4.35920960600348
214,NA
354,NA
418,5.19228058828001
278,5.72540493575941
549,4.6920601542749
221,4.43542668198361
441,5.6741899745506
209,6.18772651916497
198,6.30870772210864
63,NA
262,5.63890732495172
378,4.84822659039772
474,5.23007497299011
142,4.19445991111898
179,3.05065265472726
99,4.99835402178309
100,5.58644287099531
347,4.75057809614252
211,5.89960352488488
287,3.78930346814196
79,2.64119360307549
226,4.7618679423554
246,NA
545,4.86866078220736
243,3.44027655916503
181,4.40861133152959
91,4.60783677299689
350,5.24791702494711
207,5.47034619269441
442,NA
310,3.47526500782428
431,NA
273,NA
281,NA
139,4.55176865559186
546,5.4384847074458
162,4.57491822087465
149,3.70746711476432
77,5.28992686843507
409,4.41600820247314
458,5.85352334819069
250,5.34341216486794
204,NA
437,4.47606350818581
188,4.49422645877464
1,6.91520831693654
30,6.06558804408849
313,5.56076976787835
373,6.77399403900059
74,6.298771946009
236,5.65508655455666
449,3.91373494694089
290,7.21707238743466
37,4.84472885047194
518,3.66991993095623
104,5.66347471552385
53,6.49821156192204
96,5.13210927209571
534,NA
448,4.87870305626965
121,NA
487,4.15529109071328
558,6.23848945894098
541,6.8738823621066
78,4.67656791325663
497,4.7833563926175
202,4.52285512238283
192,5.65631825499713
512,3.85246938614678
107,5.00029269307095
223,4.91037839404136
83,4.17829287428272
266,4.54123948107358
29,3.60564160955599
464,5.76545421830485
124,5.14060285903888
504,5.07553419266034
410,5.5710313676058
351,3.44055734528111
371,5.49485262100413
413,5.76981922023106
481,5.16437091340067
488,5.8276990934603
306,3.70311609155571
177,4.93884486977267
334,6.05070864894117
338,5.19063775627754
375,5.93930564289886
116,3.00059340532802
389,4.27990392304436
363,4.66911651182619
532,NA
256,5.76837714091936
54,5.8242245351744
296,6.17430595623318
229,5.66045699630753
2,5.27834657342979
165,NA
17,6.41367059078765
548,5.40809423567927
536,6.11775076082302
301,2.76165519608113
174,5.00165766699022
412,3.62751608065744
369,NA
130,5.14070782269086
475,3.36664749215355
123,5.13879200984704
49,4.79202294495322
196,5.98025364839534
357,6.36313068613922
556,NA
473,4.45551341951994
28,6.6722413481405
268,3.85556329785248
35,5.78341934835493
316,4.77008923859283
145,6.35276591558662
396,3.527027702197
225,4.26946847079989
377,4.02877169492887
297,4.15288051493149
463,5.37012147795314
138,3.4703671763543
403,NA
483,6.23760293025387
258,4.64861180263336
161,2.86729553126554
190,4.42045286099598
156,6.89500750577146
81,5.01700593098831
423,5.18673529742287
392,4.47299527530063
14,NA
80,5.57786118828251
553,2.68723047725306
457,3.71770959575741
180,5.26086700057186
362,4.4737178618116
27,NA
21,7.19307824153099
22,5.23878996134187
155,3.65497532188864
390,NA
126,6.76260916565219
432,4.50620003876401
294,6.07906935554288
271,5.7602633597421
270,NA
115,7.77611113214325
343,4.8051144479445
148,5.02151568014053
31,4.64683760084806
386,6.31305839481919
368,4.24790358363909
150,3.8922625893119
68,3.43245311653451
141,3.80121155068435
16,4.08189234562312
379,NA
178,4.6865621830131
522,4.91173799803112
132,6.11033088012577
151,6.18730642978506
205,6.40534691515361
365,4.48282925557025
561,5.11121986154422
197,5.46905399333598
520,4.61841085714104
136,4.29958766463445
152,4.91287556633941
406,3.1631690932169
435,5.63712481896541
314,NA
242,5.56563439720331
521,NA
292,5.89474856065733
280,4.0438854998934
213,5.81177640919564
206,6.29031338389155
61,NA
323,4.61857811157639
336,5.46272649531756
254,4.51723668269256
395,3.55927730267143
85,4.55695131236702
298,3.99365141498065
159,4.58766540279306
402,3.88765046906792
401,NA
259,4.34141867881168
459,6.80212315650739
9,4.92587802188874
493,4.27984536533918
348,3.41210818521801
494,3.67028830737566
114,5.47103618108572
277,6.13339555205455
240,NA
560,5.72704105658487
446,3.29679725129591
120,3.60747180346439
291,4.11510628005639
385,5.00684394334298
339,5.93090454939416
274,4.76525660113422
374,6.04358943286263
217,5.41797340489472
324,NA
340,3.72632497051791
436,3.82113865165677
59,2.47708373080613
302,4.31167112318644
43,4.44803852234339
295,6.96118586408224
492,5.53816422518784
12,3.72837139432479
216,4.35764459482251
279,6.84232960801664
164,4.60338002146195
393,7.17809659656646
267,NA
346,3.07330172563431
8,5.60250074056421
218,4.51673090167687
10,5.05030287639759
34,NA
478,6.51470084396381
239,6.56164944291183
434,4.00945847112318
466,4.21104459320238
319,4.23286676076435
50,NA
184,NA
506,4.09478966209247
191,5.44907707911255
417,5.02349965738883
411,4.92305318689981
312,NA
249,3.79359283194491
260,5.57617924579713
527,4.77261253594104
189,NA
39,5.00609669215303
425,5.76704855890247
566,4.90895592977169
496,5.15016752871828
525,5.30359858736162
358,NA
564,5.4544407388084
454,4.01094642446267
552,4.96900185077457
404,6.0813819137988
455,5.57046879015365
508,3.87105072508673
359,6.30470032406203
543,NA
507,6.08596696807178
